Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,418.000000,421.500000,416.399994,419.149994,411.137787,347226
2020-01-03,417.000000,419.100006,414.100006,419.100006,411.088776,291716
2020-01-06,415.000000,416.200012,408.600006,415.149994,407.214264,363953
2020-01-07,417.600006,421.549988,415.399994,416.000000,408.048035,363885
2020-01-08,414.700012,418.799988,413.549988,418.799988,410.794464,360741
2020-01-09,422.000000,424.500000,421.350006,424.500000,416.385529,378062
2020-01-10,425.200012,426.299988,422.649994,423.649994,415.551758,268887
2020-01-13,424.549988,428.000000,423.700012,426.750000,418.592529,375035
2020-01-14,427.600006,431.299988,423.600006,431.000000,422.761292,513855
2020-01-15,432.600006,433.700012,428.950012,431.450012,423.202728,429805
2020-01-16,432.600006,434.950012,429.600006,431.899994,423.644104,442227
2020-01-17,435.000000,439.049988,432.649994,439.049988,430.657410,519809
2020-01-20,438.250000,438.250000,428.549988,429.750000,421.535187,345795
2020-01-21,419.700012,426.100006,412.600006,424.950012,416.826935,674294
2020-01-22,426.399994,427.250000,423.149994,423.450012,415.355621,427634
2020-01-23,417.850006,421.350006,411.649994,411.950012,404.075470,663493
2020-01-24,417.100006,422.399994,415.000000,416.299988,408.342255,537172
2020-01-27,402.899994,405.549988,398.250000,401.000000,393.334747,1193045
2020-01-28,402.500000,412.000000,400.899994,412.000000,404.124481,911017
2020-01-29,412.000000,420.649994,404.399994,407.600006,399.808594,1050070
2020-01-30,400.049988,404.899994,397.500000,398.899994,391.274902,919787
2020-01-31,400.799988,401.149994,394.100006,395.299988,387.743683,852171
2020-02-03,394.649994,399.200012,391.049988,396.750000,389.165985,561461
2020-02-04,400.000000,410.600006,399.450012,410.600006,402.751251,721603
2020-02-05,408.549988,418.700012,406.350006,415.000000,407.067139,851040
2020-02-06,418.350006,420.100006,412.049988,418.049988,410.058807,576989
2020-02-07,414.149994,417.149994,409.000000,413.950012,406.037231,557450
2020-02-10,411.000000,414.450012,409.700012,413.549988,405.644836,538239
2020-02-11,416.049988,417.700012,411.100006,412.350006,404.467773,485463
2020-02-12,414.100006,424.700012,412.799988,424.700012,416.581726,646869
2020-02-13,421.549988,423.450012,416.049988,421.549988,413.491913,564012
2020-02-14,421.000000,421.500000,414.950012,414.950012,407.018097,439401
2020-02-17,415.750000,418.600006,414.049988,414.399994,406.478607,310146
2020-02-18,409.899994,411.000000,407.750000,408.850006,401.034729,552569
2020-02-19,412.350006,419.049988,407.600006,419.049988,411.039734,541054
2020-02-20,419.049988,419.500000,409.799988,409.799988,401.966522,506684
2020-02-21,407.950012,411.950012,403.200012,404.500000,396.767853,719448
2020-02-24,384.200012,391.950012,375.250000,385.649994,378.278168,1626587
2020-02-25,387.549988,389.049988,380.049988,380.049988,372.785217,1078187
2020-02-26,377.000000,386.950012,368.049988,385.250000,377.885803,1162703
2020-02-27,375.000000,377.500000,362.649994,369.850006,362.780212,1797670
2020-02-28,355.750000,373.350006,353.149994,370.850006,363.761078,2347024
2020-03-02,385.000000,385.000000,361.100006,376.100006,368.910736,1693434
2020-03-03,385.000000,388.799988,376.000000,377.350006,370.136810,1361667
2020-03-04,378.250000,387.000000,374.850006,385.200012,377.836792,918251
2020-03-05,388.000000,388.000000,373.799988,374.549988,367.390350,911965
2020-03-06,365.000000,370.250000,355.950012,360.350006,353.461792,1519151
2020-03-09,340.750000,344.149994,331.049988,338.000000,331.539032,2442726
2020-03-10,342.299988,357.950012,332.799988,334.799988,328.400146,1610721
2020-03-11,337.200012,340.299988,329.799988,330.149994,323.839050,1572252
2020-03-12,307.100006,317.299988,295.000000,301.500000,295.736725,3098476
2020-03-13,316.549988,338.350006,309.600006,314.899994,308.880585,2334042
2020-03-16,292.000000,305.750000,278.700012,297.600006,291.911285,2802823
2020-03-17,307.000000,316.000000,297.200012,311.250000,305.300354,1972486
2020-03-18,296.100006,304.750000,285.149994,287.950012,282.445740,1603134
2020-03-19,291.299988,299.000000,282.149994,294.950012,289.311951,1327016
2020-03-20,315.549988,323.100006,307.299988,311.000000,305.055115,1996468
2020-03-23,300.000000,318.799988,300.000000,311.399994,305.447479,1218819
2020-03-24,324.049988,342.000000,320.200012,339.149994,332.667023,1460277
2020-03-25,349.299988,363.500000,338.649994,363.500000,356.551575,1331999
2020-03-26,350.500000,363.700012,341.149994,363.700012,356.747772,1251959
2020-03-27,351.399994,355.899994,335.799988,341.649994,335.119232,1072791
2020-03-30,348.600006,350.000000,333.049988,350.000000,343.309631,711278
2020-03-31,355.000000,355.950012,335.799988,338.450012,331.980438,1010235
2020-04-01,328.000000,332.549988,321.100006,324.649994,318.444214,1043341
2020-04-02,326.149994,328.250000,316.100006,325.350006,319.130829,697471
2020-04-03,323.549988,328.950012,320.049988,325.049988,318.836548,507455
2020-04-06,336.500000,346.600006,334.399994,339.750000,333.255585,770040
2020-04-07,350.000000,354.450012,342.649994,344.500000,337.914764,814971
2020-04-08,349.450012,350.000000,339.700012,343.200012,336.639618,466780
2020-04-09,351.000000,351.149994,338.899994,347.399994,340.759308,697149
2020-04-14,351.200012,355.100006,348.500000,352.000000,345.271393,634000
2020-04-15,352.000000,352.049988,337.950012,342.000000,335.462555,743853
2020-04-16,343.399994,348.200012,339.700012,342.799988,336.247253,698898
