Date,Open,High,Low,Close,Adj Close,Volume
2019-11-28,22.350000,22.420000,22.120001,22.240000,19.884838,1112428
2019-11-29,22.100000,22.299999,21.920000,21.920000,19.598726,1877920
2019-12-02,21.990000,22.129999,21.450001,21.530001,19.250027,3310869
2019-12-03,21.520000,21.670000,21.070000,21.150000,18.910267,3318755
2019-12-04,21.180000,21.530001,21.180000,21.459999,19.187437,3200205
2019-12-05,21.450001,21.580000,21.240000,21.240000,18.990736,2114243
2019-12-06,21.389999,21.540001,21.010000,21.510000,19.232143,2789938
2019-12-09,21.549999,21.620001,20.930000,21.110001,18.874504,2787291
2019-12-10,21.000000,21.059999,20.830000,20.930000,18.713564,2400833
2019-12-11,20.990000,21.190001,20.870001,20.920000,18.704624,2094744
2019-12-12,20.920000,21.559999,20.900000,21.410000,19.142733,3209980
2019-12-13,21.900000,22.290001,21.740000,21.889999,19.571901,5378352
2019-12-16,22.129999,22.160000,21.750000,21.920000,19.598726,2994777
2019-12-17,21.879999,22.110001,21.570000,22.110001,19.768606,3337851
2019-12-18,23.000000,23.110001,22.320000,22.410000,20.036837,5081239
2019-12-19,22.549999,22.590000,22.129999,22.299999,19.938484,4253748
2019-12-20,22.280001,22.400000,22.150000,22.260000,19.902721,4482956
2019-12-23,22.139999,22.160000,21.780001,21.990000,19.661312,2169407
2019-12-24,22.000000,22.000000,21.770000,21.830000,19.518257,468961
2019-12-25,21.830000,21.830000,21.830000,21.830000,19.518257,0
2019-12-27,21.809999,22.000000,21.799999,21.820000,19.509315,1623781
2019-12-30,21.740000,21.799999,21.540001,21.570000,19.285789,1533144
2019-12-31,21.500000,21.549999,21.299999,21.299999,19.044382,860560
2020-01-02,21.410000,22.010000,21.410000,21.740000,19.437788,1877667
2020-01-03,21.500000,21.680000,21.120001,21.320000,19.062263,2276049
2020-01-06,21.010000,21.049999,20.530001,20.980000,18.758268,2492450
2020-01-07,21.059999,21.330000,21.030001,21.180000,18.937090,3108381
2020-01-08,21.049999,21.190001,20.780001,20.940001,18.722506,2266811
2020-01-09,21.299999,21.379999,20.790001,20.889999,18.677799,2777531
2020-01-10,20.900000,21.219999,20.790001,20.870001,18.659920,2483070
2020-01-13,21.000000,21.000000,20.540001,20.690001,18.498980,2070266
2020-01-14,20.680000,20.709999,20.400000,20.500000,18.329100,2959042
2020-01-15,20.500000,20.530001,19.930000,19.959999,17.846285,3634321
2020-01-16,19.959999,20.250000,19.695000,19.920000,17.810520,3587383
2020-01-17,20.100000,20.190001,19.795000,19.795000,17.698759,2300739
2020-01-20,19.905001,19.950001,19.684999,19.760000,17.667465,1435137
2020-01-21,19.650000,19.860001,19.520000,19.520000,17.452881,2572112
2020-01-22,19.590000,19.930000,19.350000,19.424999,17.367939,2399836
2020-01-23,19.285000,19.385000,18.985001,19.120001,17.095240,2780494
2020-01-24,19.379999,19.535000,19.184999,19.270000,17.229355,4034042
2020-01-27,18.995001,19.055000,18.545000,18.735001,16.751011,4671099
2020-01-28,18.900000,19.135000,18.594999,19.129999,17.104179,3127241
2020-01-29,19.100000,19.455000,18.955000,19.395000,17.341118,3423444
2020-01-30,19.094999,19.235001,18.955000,19.125000,17.099709,3981557
2020-01-31,19.080000,19.094999,18.584999,18.610001,16.639248,6005662
2020-02-03,18.600000,18.980000,18.555000,18.900000,16.898537,3228406
2020-02-04,19.049999,19.405001,18.830000,19.200001,17.166767,3469038
2020-02-05,19.155001,19.795000,19.000000,19.580000,17.506525,4068066
2020-02-06,19.780001,20.450001,19.760000,19.879999,17.774755,4804463
2020-02-07,19.799999,19.805000,19.084999,19.400000,17.345587,4030661
2020-02-10,19.174999,19.465000,18.844999,18.950001,16.943243,3080077
2020-02-11,19.250000,19.615000,19.004999,19.170000,17.139944,3759667
2020-02-12,19.150000,20.170000,19.150000,20.120001,17.989342,4431318
2020-02-13,19.885000,19.924999,19.514999,19.700001,17.613819,3555790
2020-02-14,19.785000,20.020000,19.334999,19.370001,17.318766,2417883
2020-02-17,19.650000,19.950001,19.535000,19.559999,17.488644,2044784
2020-02-18,19.254999,19.395000,19.055000,19.340000,17.291941,3577060
2020-02-19,19.400000,19.500000,19.125000,19.500000,17.434998,2486445
2020-02-20,19.500000,19.780001,19.285000,19.434999,17.376881,3449796
2020-02-21,19.320000,19.580000,18.955000,19.139999,17.113121,3380534
2020-02-24,18.495001,18.565001,17.535000,17.805000,15.919495,8239176
2020-02-25,17.969999,18.020000,17.315001,17.684999,15.812201,5708836
2020-02-26,18.000000,19.059999,17.514999,18.525000,16.563248,9284631
2020-02-27,18.110001,18.434999,17.740000,18.174999,16.250311,7736842
2020-02-28,17.500000,17.805000,17.155001,17.504999,15.651262,8764962
2020-03-02,17.809999,17.905001,16.405001,16.754999,14.980686,7132059
2020-03-03,17.195000,17.590000,16.905001,16.924999,15.132684,7193379
2020-03-04,17.080000,17.280001,16.799999,17.105000,15.293622,5130071
2020-03-05,17.370001,17.370001,16.639999,16.690001,14.922570,5393728
2020-03-06,16.375000,16.375000,15.865000,16.150000,14.439754,8528917
2020-03-09,14.750000,14.840000,14.310000,14.310000,12.794606,11625979
2020-03-10,14.740000,15.100000,13.835000,13.895000,12.423554,10845169
2020-03-11,14.385000,14.665000,13.970000,14.095000,12.602374,6808353
2020-03-12,13.000000,13.560000,11.405000,11.555000,10.331354,12720335
2020-03-13,12.080000,13.445000,11.655000,11.890000,10.630878,11037209
2020-03-16,11.455000,11.455000,9.756000,11.035000,9.866421,10741035
2020-03-17,11.660000,12.090000,10.000000,11.000000,9.835127,9109737
2020-03-18,11.075000,11.380000,9.560000,9.560000,8.547620,8162818
2020-03-19,9.702000,10.475000,8.878000,10.035000,8.972318,7291106
2020-03-20,10.740000,11.310000,10.040000,11.310000,10.112299,9102442
2020-03-23,10.760000,11.165000,10.310000,10.820000,9.674189,6267002
2020-03-24,11.620000,11.970000,11.135000,11.970000,10.702407,5232007
2020-03-25,12.800000,13.330000,11.700000,12.300000,10.997460,4971511
2020-03-26,11.900000,12.605000,11.720000,12.590000,11.256750,3735430
2020-03-27,12.275000,12.425000,11.805000,12.065000,10.787346,3210921
2020-03-30,12.005000,12.170000,11.500000,11.770000,10.523586,2997480
2020-03-31,12.005000,12.250000,11.810000,12.165000,10.876757,5320835
2020-04-01,12.000000,12.030000,11.330000,11.375000,10.170416,3764313
2020-04-02,11.445000,12.015000,11.330000,11.860000,10.604054,3658486
2020-04-03,11.950000,12.150000,11.760000,11.815000,10.563820,2326822
2020-04-06,12.690000,13.275000,12.405000,12.875000,11.511569,4547569
2020-04-07,13.440000,14.235000,13.440000,13.640000,12.195558,5469033
2020-04-08,13.545000,13.840000,13.115000,13.330000,11.918386,3275623
2020-04-09,13.845000,13.890000,12.945000,13.415000,11.994385,3061192
2020-04-14,13.820000,13.860000,12.340000,12.630000,11.292514,4287864
2020-04-15,12.630000,12.720000,11.750000,11.750000,10.505704,3703205
2020-04-16,11.795000,12.170000,11.200000,11.295000,10.098887,4034393
